"id","function","whole_kit_quantity","starter_quantity","starter_references","manufacturer","exact_part_or_open_requirement","package","status","local_datasheet","notes"
"B016","GPIO_SOCKET","1","0","","On Shore","ED281DT","28-pin DIP socket; narrow","Design baseline","datasheets/dip-sockets.pdf","7.62 mm rows, not ED28DT wide socket."
"B017","AUDIO_SOCKET","1","0","","On Shore","ED08DT","8-pin DIP socket","Design baseline","datasheets/dip-sockets.pdf","Charger socket quantity is NOT included."
"B018","DISPLAY_SOCKET","1","0","","Sullins","PPTC081LFBN-RC","1 x 8 THT; 2.54 mm","Design baseline; screen-dependent","datasheets/sullins-female-headers.pdf","Match actual screen header side and pin order."
"B019","ACTUATOR_CONNECTOR","2","0","","JST","S2B-PH-K-S(LF)(SN)","2-pin right-angle THT","Design baseline","datasheets/jst-ph.pdf","One speaker and one motor socket. Label and separate; not the battery connector."
"B020","ACTUATOR_HOUSING","2","0","","JST","PHR-2","2-pin crimp housing","Design baseline","datasheets/jst-ph.pdf","Factory-prepared actuator leads; no student soldering to microscopic actuator pads."
"B021","MOTOR_CONTACT","2","0","","JST","SPH-004T-P0.5S","Crimp; AWG32-28","Candidate; insulation check","datasheets/jst-ph.pdf","Correct conductor range for motor AWG32; verify insulation OD 0.5-0.9 mm. Replaces inappropriate SPH-002 on this motor."
"B022","BAT_CONNECTOR","0 on main PCB; TBD power revision","0","","JST","B3B-PH-K-S(LF)(SN)","3-pin vertical THT","Deferred to separate power-board revision; old candidate not selected","datasheets/jst-ph.pdf","Historical integrated-power candidate/requirement; do not purchase for main board. Future power board requires its own reviewed BOM. Reserve 1 BAT+, 2 NTC, 3 BAT-. Pack/harness supplied later to this pinout, not assumed industry standard."
"B023","BAT_HOUSING","0 on main PCB; TBD power revision","0","","JST","PHR-3","3-pin crimp housing","Deferred to separate power-board revision; old candidate not selected","datasheets/jst-ph.pdf","Historical integrated-power candidate/requirement; do not purchase for main board. Future power board requires its own reviewed BOM. Includes thermistor lead; keyed differently from two-pin actuator connections."
"B024","BAT_CONTACT","0 on main PCB; TBD power revision","0","","JST","SPH-002T-P0.5S","Crimp; AWG30-24","Deferred to separate power-board revision; old candidate not selected","datasheets/jst-ph.pdf","Historical integrated-power candidate/requirement; do not purchase for main board. Future power board requires its own reviewed BOM. Use qualified 26 AWG harness with matching insulation OD. Speaker contacts unresolved until its wires are specified."
"B025","BAT_NTC","0 on main PCB; TBD power revision","0","","Vishay","NTCLE100E3103JB0","10 kohm radial NTC","Deferred to separate power-board revision; old candidate not selected","datasheets/ntcle100.pdf","Historical integrated-power candidate/requirement; do not purchase for main board. Future power board requires its own reviewed BOM. Thermally coupled to cell via insulated harness, not used to measure main-PCB ambient. Threshold network not calculated."
"B026","MAIN_REG","0 on main PCB; TBD power revision","0","","Microchip","MCP1826S-3302E/AB","TO-220-3","Deferred to separate power-board revision; old candidate not selected","datasheets/mcp1826s.pdf","Historical integrated-power candidate/requirement; do not purchase for main board. Future power board requires its own reviewed BOM. Not buck-boost; cannot sustain 3.3 V with low battery. Does not fix MCU onboard-LDO/USB backfeed."
"B027","CHARGER","0 on main PCB; TBD power revision","0","","Analog Devices","LT1512CN8#PBF","PDIP-8","Deferred to separate power-board revision; old candidate not selected","","Historical integrated-power candidate/requirement; do not purchase for main board. Future power board requires its own reviewed BOM. Needs complete independent charge supervision, power routing and magnetics; not a finished charger/protection circuit."
"B028","RESISTOR","TBD","0","","Yageo","MFR-25FBF52-4R7","Axial 0.25 W 1%","Value pool; not a bag count","datasheets/mfr-resistors.pdf","4.7 ohm; Audio stability. Power/safety sensing precision resistors are NOT covered by this pool."
"B029","RESISTOR","TBD","0","","Yageo","MFR-25FBF52-39R","Axial 0.25 W 1%","Value pool; not a bag count","datasheets/mfr-resistors.pdf","Unpopulated candidate only. Starter IR circuit uses 100 ohm; no 39 ohm resistor is approved for assembly."
"B030","RESISTOR","TBD total; 2 in starter circuit","2","R14 R17","Yageo","MFR-25FBF52-100R","Axial 0.25 W 1%","Value pool; not a bag count","datasheets/mfr-resistors.pdf","Starter: R14 IR LED limit and R17 receiver rail filter. Other uses TBD."
"B031","RESISTOR","TBD total; 1 in starter circuit","1","R15","Yageo","MFR-25FBF52-220R","Axial 0.25 W 1%","Value pool; not a bag count","datasheets/mfr-resistors.pdf","Starter: R15 IR transistor base. Other uses TBD."
"B032","RESISTOR","TBD","0","","Yageo","MFR-25FBF52-680R","Axial 0.25 W 1%","Value pool; not a bag count","datasheets/mfr-resistors.pdf","680 ohm; Driver starting value; recalculate. Power/safety sensing precision resistors are NOT covered by this pool."
"B033","RESISTOR","TBD","0","","Yageo","MFR-25FBF52-1K","Axial 0.25 W 1%","Value pool; not a bag count","datasheets/mfr-resistors.pdf","1 kohm; Audio RC/attenuation. Power/safety sensing precision resistors are NOT covered by this pool."
"B034","RESISTOR","TBD total; 2 in starter circuit","2","R1 R2","Yageo","MFR-25FBF52-4K7","Axial 0.25 W 1%","Value pool; not a bag count","datasheets/mfr-resistors.pdf","4.7 kohm; I2C pull-ups; two needed before other uses. Power/safety sensing precision resistors are NOT covered by this pool."
"B035","RESISTOR","TBD total; 11 in starter circuit","11","R3 R4 R5 R6 R7 R8 R9 R10 R11 R12 R13","Yageo","MFR-25FBF52-10K","Axial 0.25 W 1%","Value pool; not a bag count","datasheets/mfr-resistors.pdf","10 kohm; Reset, default states and controls. Power/safety sensing precision resistors are NOT covered by this pool."
"B036","RESISTOR","TBD total; 1 in starter circuit","1","R16","Yageo","MFR-25FBF52-100K","Axial 0.25 W 1%","Value pool; not a bag count","datasheets/mfr-resistors.pdf","100 kohm; Default-off bias / switched ADC divider. Power/safety sensing precision resistors are NOT covered by this pool."
"B037","CAPACITOR","TBD total; 3 in starter circuit","3","C1 C3 C5","KEMET","C315C104K5R5TA","Radial 100 nF 50 V X7R","Value pool","datasheets/kemet-100nf.pdf","IC decoupling and motor suppression; positions/count need schematic."
"B038","CAPACITOR","TBD","0","","KEMET","C315C103J1G5TA","Radial 10 nF 100 V C0G","Value pool","datasheets/kemet-10nf.pdf","Audio filter/stability candidate."
"B039","CAPACITOR","TBD","0","","KEMET","C315C105K5R5TA","Radial 1 uF 50 V X7R","Value pool","datasheets/kemet-1uf.pdf","LDO bypass candidate; account for minimum effective capacitance including tolerance and bias."
"B040","CAPACITOR","TBD total; 2 in starter circuit","2","C2 C4","Nichicon","UVR1C100MDD","Radial 10 uF 16 V","Value pool","datasheets/nichicon-uvr.pdf","Audio and IR local filtering."
"B041","CAPACITOR","TBD","0","","Nichicon","UVR1C101MDD","Radial 100 uF 16 V","Value pool","datasheets/nichicon-uvr.pdf","Local bulk capacitor; not automatically suitable for switching-converter ripple."
"B042","SD_MODULE","1","0","","GODIYMODULES (listing brand)","Amazon B0F82XWT4F","Preassembled microSD breakout; pictured 6-pin header","User-selected; 3V3 and signal labels confirmed in photo; sample test pending","","User screenshot: rear view with slot left and header right reads top-to-bottom 3V3 CS MOSI CLK MISO GND; square pad at 3V3. Pictured marking V474. One module per kit from five-pack; screenshot USD 5.99/5 (~1.20 each before tax/shipping). Listed 17.9 x 17.9 mm; under-screen clearance and electrical operation pending. See SD_STORAGE.md."
"B043","SD_SOCKET","1 proposed","0","","Sullins","PPTC061LFBN-RC","1 x 6 THT; 2.54 mm candidate","Series candidate; delivered pitch / stack-height check","datasheets/sullins-female-headers.pdf","Socketed reader proposal for repairability. Verify actual module header pitch, tail engagement and complete under-screen stack; not a released footprint."
"B044","SD_HEADER","1 strip included if supplied","0","","Module supplier","Six-pin male strip pictured with B0F82XWT4F","1 x 6 THT; pitch sample check","Bundle contents / fit verification","","Do not double-count included header as a separate purchase. If missing, select an exact mating header MPN before kit release."
"B045","POWER_PATH","0 on main PCB; TBD power revision","0","","TBD","USB/battery source isolation and charger enable","TBD","Deferred to separate power-board revision; old candidate not selected","","Historical integrated-power candidate/requirement; do not purchase for main board. Future power board requires its own reviewed BOM. Must prevent battery boost powering its own charger; independently detect real USB power without modifying MCU module."
"B046","BATTERY_REGULATION","0 on main PCB; TBD power revision","0","","TBD","Battery-to-system converter and magnetics","TBD","Deferred to separate power-board revision; old candidate not selected","","Historical integrated-power candidate/requirement; do not purchase for main board. Future power board requires its own reviewed BOM. 1S range and MCU onboard regulator require a qualified supply route; no external 3.3 V injection assumed safe."
"B047","CHARGE_SUPERVISION","0 on main PCB; TBD power revision","0","","TBD","Precharge / termination / restart / safety timer circuitry","TBD","Deferred to separate power-board revision; old candidate not selected","","Historical integrated-power candidate/requirement; do not purchase for main board. Future power board requires its own reviewed BOM. CC/CV converter alone is insufficient. Independent hardware behavior required even with crashed firmware."
"B048","CHARGE_TEMPERATURE","0 on main PCB; TBD power revision","0","","TBD","NTC threshold and charge-inhibit network","TBD","Deferred to separate power-board revision; old candidate not selected","","Historical integrated-power candidate/requirement; do not purchase for main board. Future power board requires its own reviewed BOM. Select thresholds against cell datasheet; fail safe for disconnected/shorted thermistor."
"B049","BATTERY_PROTECTION","0 on main PCB; TBD power revision","0","","TBD","Overcharge / undervoltage / overcurrent protection","TBD","Deferred to separate power-board revision; old candidate not selected","","Historical integrated-power candidate/requirement; do not purchase for main board. Future power board requires its own reviewed BOM. Protected pack backup plus appropriate main-board protections; exact architecture not chosen."
"B050","INPUT_PROTECTION","0 on main PCB; TBD power revision","0","","TBD","Fuse/PTC and reverse-polarity protection","TBD","Deferred to separate power-board revision; old candidate not selected","","Historical integrated-power candidate/requirement; do not purchase for main board. Future power board requires its own reviewed BOM. Set against source, wiring, cell and inrush limits. Do not treat a random PTC as lithium protection."
"B051","POWER_SWITCH","0 on main PCB; TBD power revision","0","","TBD","Through-hole power switch","TBD","Deferred to separate power-board revision; old candidate not selected","","Historical integrated-power candidate/requirement; do not purchase for main board. Future power board requires its own reviewed BOM. Must support charging while toy is off; contact current and mechanical size depend on circuit."
"B052","BATTERY_MEASUREMENT","0 on main PCB; TBD power revision","0","","TBD","Switched ADC divider / input protection","TBD","Deferred to separate power-board revision; old candidate not selected","","Historical integrated-power candidate/requirement; do not purchase for main board. Future power board requires its own reviewed BOM. GPIO1 reservation only; battery must never connect directly to GPIO."
"B053","POWER_INDICATORS","0 on main PCB; TBD power revision","0","","TBD","Charge / fault indication parts","TBD","Deferred to separate power-board revision; old candidate not selected","","Historical integrated-power candidate/requirement; do not purchase for main board. Future power board requires its own reviewed BOM. Choose independent charge indication vs screen after charger architecture; avoid duplicate unnecessary LEDs."
"B054","POWER_PASSIVES","0 on main PCB; TBD power revision","0","","TBD","Power-specific resistors / capacitors / diodes / inductors","TBD","Deferred to separate power-board revision; old candidate not selected","","Historical integrated-power candidate/requirement; do not purchase for main board. Future power board requires its own reviewed BOM. Not covered by ordinary resistor pool. Each value, rating and exact MPN must become its own row."
"B055","BACKLIGHT_DRIVER","TBD","0","","TBD","Backlight control and default-off network","TBD","HOLD — display sample","","Verify whether BLK is a logic input or LED-current terminal; do not drive an unknown LED load from GPIO."
"B056","AUDIO_NETWORK","TBD","0","","TBD","PWM filter / attenuation / coupling / bridge stability","TBD","HOLD — calculations","","Account for amplifier gain and speaker rating. Count from actual audio schematic, not guessed bag quantities."
"B057","AUDIO_GATE","TBD","0","","TBD","Amplifier supply gating network","TBD","HOLD — calculations","","Audio quiescent current matters; prevent PWM phantom-power when amp is off."
"B058","MOTOR_NETWORK","TBD","0","","TBD","Motor drive / suppression","TBD","HOLD — startup and stall","","Driver and flyback stay on main board; voltage regulation and regulator capacitors belong to the power-board revision."
"B059","SPEAKER_CONTACT","2","0","","TBD","Speaker harness crimp contacts","Crimp","HOLD — wire gauge","","Choose JST contact for actual conductor and insulation diameter; motor contacts cannot be assumed interchangeable."
"B060","HARNESS_WIRE","TBD length","0","","TBD","Battery/NTC and actuator wire","TBD","HOLD — mechanical","","26 AWG battery harness proposed; routing, strain relief, insulation and exact wire required."
"B061","BATTERY","1","0","","TBD","1S 3.6/3.7 V nominal, 4.2 V maximum pack","Wired pack","Deferred by user","","Capacity/shape chosen later; discharge capability, permitted charge current, connector polarity and temperature limits must be qualified before powering."
"B062","HARNESS_INSULATION","TBD length","0","","TBD","Heatshrink / NTC insulation / strain relief","TBD","HOLD — mechanical","","Prevent shorts; NTC must contact cell thermally while remaining electrically insulated."
"B063","MAIN_PCB","1","0","","TBD","KK main-board custom PCB","Custom PCB","Design pending","","THT student assembly; final dimensions after placement, antenna keepout and safety separation."
"B064","TEST_ACCESS","TBD pads","0","","TBD","PCB test pads and optional service header","TBD","Design pending","","Pads are PCB features, not separate bag parts. Any populated header gets its own exact row."
"B065","ENCLOSURE","1 set","0","","TBD","Custom front and rear shell","Custom printed/molded","Deferred to board outline","","User models shell; include USB opening, IR window, antenna clearance and battery retention."
"B066","BUTTON_CAPS","1 set","0","","TBD","D-pad plus A/B/X/Y and Function caps","TBD","Mechanical design pending","","Nine electrical switches; a single D-pad cap can operate four switches. Check travel, anti-jam guides and preload."
"B067","SCREEN_WINDOW","1 proposed","0","","TBD","Display lens / protective window","TBD","Mechanical design pending","","Define material, thickness, optical quality and retention before release."
"B068","SCREEN_RETENTION","1 set","0","","TBD","Display retention hardware / spacers","TBD","Mechanical design pending","","No pressure on flex tail or LCD glass; socket alone may not secure screen."
"B069","PCB_HARDWARE","TBD","0","","TBD","PCB spacers and fasteners","TBD","Mechanical design pending","","Exact thread/length after stack-up; no loose metal near battery."
"B070","SHELL_FASTENERS","TBD","0","","TBD","Shell screws / inserts","TBD","Mechanical design pending","","Keep small parts captive as appropriate; select against intended age and service requirements."
"B071","ACTUATOR_MOUNT","1 set","0","","TBD","Speaker gasket and motor retention","TBD","Mechanical design pending","","Speaker seal/acoustic cavity affect perceived quality; secure motor without damping all vibration."
"B072","BATTERY_RETENTION","1 set","0","","TBD","Cell restraint and cushioning","TBD","Mechanical design pending","","No sharp edges, crushing, piercing screws or forced bending."
"B073","KEYCHAIN_HARDWARE","1 set proposed","0","","TBD","Split ring / tether and reinforced anchor","TBD","Mechanical design pending","","Confirm age-appropriate attachment, retention and small-parts requirements."
"B074","USB_CABLE","1 proposed","0","","TBD","USB data-capable host-to-USB-C cable","TBD","Exact SKU pending","","Not charge-only. Host end and length to suit classroom; may be shared classroom supply."
"B075","PRINTED_MATERIAL","1 set","0","","TBD","Assembly guide / polarity labels / safety notes","TBD","Content pending","","Include firmware loading, battery use, sample inspection and test sequence."
"B076","PACKAGING","1 set","0","","TBD","ESD bag and compartmented kit packaging","TBD","Exact SKU pending","","Keep battery transport and packing requirements separate from ordinary parts packaging."
"B077","CLASSROOM_TOOLS","Shared; not per kit","0","","TBD","Iron / solder / cutters / ESD mat / multimeter","TBD","Assembly plan pending","","Crimped harnesses supplied preassembled; no student crimping of tiny contacts assumed."
"B078","MICROSD","1","0","","TBD","microSD card; exact brand/capacity pending","TBD","Storage now included; card selection pending","","Separate B0F82XWT4F reader; retain current screen. Persistent game packages/assets/saves, not PSRAM or automatic executable storage. Card not assumed included with reader."
"B079","EXTERNAL_USB","0 on main PCB","0","","TBD","No additional main-board USB socket","TBD","Revised scope","","Routine updates are wireless. Future power board may have charging USB and optional data; retain module USB for service."
"B080","SYS_IN_CONNECTOR","1","0","","TBD","Keyed THT regulated-power input connector","TBD","Interface selection pending","","Power board supplies required regulated rails. Single 5 V-only proposal is reopened because main-board voltage regulation is excluded. Pin count, rails, current and polarity must be frozen before routing."
"B081","SYS_IN_HARNESS","1 set","0","","TBD","Power-board to main-board harness and mating contacts","TBD","Interface selection pending","","Exact gauge, length, terminals and strain relief after current budget and connector selection."
"B082","MAIN_RAIL_INTERFACE","TBD","0","","TBD","Main-board rail distribution / local bypass capacitors","TBD","Main-board engineering pending","","No discrete voltage regulators on main PCB. Power board owns regulation and source protection; main board retains local decoupling and driver suppression. Do not assume safe external injection into MCU regulator output. Service USB isolation must be qualified jointly."
"B083","SD_SUPPORT","TBD","0","","TBD","SD supply bypass / bus pull-ups / optional series resistors","TBD","Circuit inspection pending","","Inspect populated module before assigning external values; card write transients must enter rail budget. Do not assume onboard 5 V regulation or level conversion."
"B084","SD_RETENTION","1 set if needed","0","","TBD","Reader support and display clearance / insulation","TBD","Mechanical design pending","","Under-screen target only; leave insertion/ejection space and safe separation from LCD metalwork. Exact spacers/fasteners depend on stack-up."
