"block","planned_quantity","manufacturer","exact_part","package","selection_status","local_datasheet","notes"
"MCU_HEADER","2 strips if not factory-fitted","Module supplier","9-pin male strips supplied with selected module","1 x 9; 2.54 mm","Bundle contents / fit verification","","Included module accessory if supplied; do not purchase or count twice. Separate exact header MPN required if absent."
"GPIO_SOCKET","1","On Shore","ED281DT","28-pin DIP socket; narrow","Design baseline","datasheets/dip-sockets.pdf","7.62 mm rows, not ED28DT wide socket."
"AUDIO_SOCKET","1","On Shore","ED08DT","8-pin DIP socket","Design baseline","datasheets/dip-sockets.pdf","Charger socket quantity is NOT included."
"DISPLAY_SOCKET","1","Sullins","PPTC081LFBN-RC","1 x 8 THT; 2.54 mm","Design baseline; screen-dependent","datasheets/sullins-female-headers.pdf","Match actual screen header side and pin order."
"ACTUATOR_CONNECTOR","2","JST","S2B-PH-K-S(LF)(SN)","2-pin right-angle THT","Design baseline","datasheets/jst-ph.pdf","One speaker and one motor socket. Label and separate; not the battery connector."
"ACTUATOR_HOUSING","2","JST","PHR-2","2-pin crimp housing","Design baseline","datasheets/jst-ph.pdf","Factory-prepared actuator leads; no student soldering to microscopic actuator pads."
"MOTOR_CONTACT","2","JST","SPH-004T-P0.5S","Crimp; AWG32-28","Candidate; insulation check","datasheets/jst-ph.pdf","Correct conductor range for motor AWG32; verify insulation OD 0.5-0.9 mm. Replaces inappropriate SPH-002 on this motor."
"BAT_CONNECTOR","1","JST","B3B-PH-K-S(LF)(SN)","3-pin vertical THT","Proposed battery interface","datasheets/jst-ph.pdf","Reserve 1 BAT+, 2 NTC, 3 BAT-. Pack/harness supplied later to this pinout, not assumed industry standard."
"BAT_HOUSING","1","JST","PHR-3","3-pin crimp housing","Proposed battery interface","datasheets/jst-ph.pdf","Includes thermistor lead; keyed differently from two-pin actuator connections."
"BAT_CONTACT","3","JST","SPH-002T-P0.5S","Crimp; AWG30-24","Candidate; harness check","datasheets/jst-ph.pdf","Use qualified 26 AWG harness with matching insulation OD. Speaker contacts unresolved until its wires are specified."
"BAT_NTC","1","Vishay","NTCLE100E3103JB0","10 kohm radial NTC","Design baseline; charger network pending","datasheets/ntcle100.pdf","Thermally coupled to cell via insulated harness, not used to measure main-PCB ambient. Threshold network not calculated."
"MAIN_REG","0 released","Microchip","MCP1826S-3302E/AB","TO-220-3","HOLD; LDO alternative only","datasheets/mcp1826s.pdf","Not buck-boost; cannot sustain 3.3 V with low battery. Does not fix MCU onboard-LDO/USB backfeed."
"CHARGER","0 released","Analog Devices","LT1512CN8#PBF","PDIP-8","HOLD; CC/CV candidate only","","Needs complete independent charge supervision, power routing and magnetics; not a finished charger/protection circuit."
"RESISTOR","TBD","Yageo","MFR-25FBF52-4R7","Axial 0.25 W 1%","Value pool; not a bag count","datasheets/mfr-resistors.pdf","4.7 ohm; Audio stability. Power/safety sensing precision resistors are NOT covered by this pool."
"RESISTOR","TBD","Yageo","MFR-25FBF52-39R","Axial 0.25 W 1%","Value pool; not a bag count","datasheets/mfr-resistors.pdf","39 ohm; IR current-limit starting value; recalculate. Power/safety sensing precision resistors are NOT covered by this pool."
"RESISTOR","TBD","Yageo","MFR-25FBF52-100R","Axial 0.25 W 1%","Value pool; not a bag count","datasheets/mfr-resistors.pdf","100 ohm; Receiver supply filter. Power/safety sensing precision resistors are NOT covered by this pool."
"RESISTOR","TBD","Yageo","MFR-25FBF52-220R","Axial 0.25 W 1%","Value pool; not a bag count","datasheets/mfr-resistors.pdf","220 ohm; Driver starting value; recalculate. Power/safety sensing precision resistors are NOT covered by this pool."
"RESISTOR","TBD","Yageo","MFR-25FBF52-680R","Axial 0.25 W 1%","Value pool; not a bag count","datasheets/mfr-resistors.pdf","680 ohm; Driver starting value; recalculate. Power/safety sensing precision resistors are NOT covered by this pool."
"RESISTOR","TBD","Yageo","MFR-25FBF52-1K","Axial 0.25 W 1%","Value pool; not a bag count","datasheets/mfr-resistors.pdf","1 kohm; Audio RC/attenuation. Power/safety sensing precision resistors are NOT covered by this pool."
"RESISTOR","TBD","Yageo","MFR-25FBF52-4K7","Axial 0.25 W 1%","Value pool; not a bag count","datasheets/mfr-resistors.pdf","4.7 kohm; I2C pull-ups; two needed before other uses. Power/safety sensing precision resistors are NOT covered by this pool."
"RESISTOR","TBD","Yageo","MFR-25FBF52-10K","Axial 0.25 W 1%","Value pool; not a bag count","datasheets/mfr-resistors.pdf","10 kohm; Reset, default states and controls. Power/safety sensing precision resistors are NOT covered by this pool."
"RESISTOR","TBD","Yageo","MFR-25FBF52-100K","Axial 0.25 W 1%","Value pool; not a bag count","datasheets/mfr-resistors.pdf","100 kohm; Default-off bias / switched ADC divider. Power/safety sensing precision resistors are NOT covered by this pool."
"CAPACITOR","TBD","KEMET","C315C104K5R5TA","Radial 100 nF 50 V X7R","Value pool","datasheets/kemet-100nf.pdf","IC decoupling and motor suppression; positions/count need schematic."
"CAPACITOR","TBD","KEMET","C315C103J1G5TA","Radial 10 nF 100 V C0G","Value pool","datasheets/kemet-10nf.pdf","Audio filter/stability candidate."
"CAPACITOR","TBD","KEMET","C315C105K5R5TA","Radial 1 uF 50 V X7R","Value pool","datasheets/kemet-1uf.pdf","LDO bypass candidate; account for minimum effective capacitance including tolerance and bias."
"CAPACITOR","TBD","Nichicon","UVR1C100MDD","Radial 10 uF 16 V","Value pool","datasheets/nichicon-uvr.pdf","Audio and IR local filtering."
"CAPACITOR","TBD","Nichicon","UVR1C101MDD","Radial 100 uF 16 V","Value pool","datasheets/nichicon-uvr.pdf","Local bulk capacitor; not automatically suitable for switching-converter ripple."
"SD_MODULE","1","GODIYMODULES (listing brand)","Amazon B0F82XWT4F","Preassembled microSD breakout; pictured 6-pin header","User-selected; 3V3 and signal labels confirmed in photo; sample test pending","","User screenshot: rear view with slot left and header right reads top-to-bottom 3V3 CS MOSI CLK MISO GND; square pad at 3V3. Pictured marking V474. One module per kit from five-pack; screenshot USD 5.99/5 (~1.20 each before tax/shipping). Listed 17.9 x 17.9 mm; under-screen clearance and electrical operation pending. See SD_STORAGE.md."
"SD_SOCKET","1 proposed","Sullins","PPTC061LFBN-RC","1 x 6 THT; 2.54 mm candidate","Series candidate; delivered pitch / stack-height check","datasheets/sullins-female-headers.pdf","Socketed reader proposal for repairability. Verify actual module header pitch, tail engagement and complete under-screen stack; not a released footprint."
"SD_HEADER","1 strip included if supplied","Module supplier","Six-pin male strip pictured with B0F82XWT4F","1 x 6 THT; pitch sample check","Bundle contents / fit verification","","Do not double-count included header as a separate purchase. If missing, select an exact mating header MPN before kit release."
