"section","quantity_or_order_code","item_or_value","selection_or_role","qualification"
"3. Supporting passives — exact selection pool, NOT final bag quantities","MFR-25FBF52-4K7","4.7 kohm","Two I2C pull-ups; verify bus rise time at 400 kHz","See report; not production-released"
"3. Supporting passives — exact selection pool, NOT final bag quantities","MFR-25FBF52-10K","10 kohm","Reset, Function button, logic bias and audio support","See report; not production-released"
"3. Supporting passives — exact selection pool, NOT final bag quantities","MFR-25FBF52-100K","100 kohm","Default-off bias, status input resistors and switched battery divider","See report; not production-released"
"3. Supporting passives — exact selection pool, NOT final bag quantities","KEMET C315C104K5R5TA","100 nF, 50 V X7R, radial","Local IC/rail decoupling, motor suppression, ADC and amplifier networks","See report; not production-released"
"3. Supporting passives — exact selection pool, NOT final bag quantities","KEMET C315C103J1G5TA","10 nF, 100 V C0G, radial","Audio PWM reconstruction / bridge support candidates","See report; not production-released"
"3. Supporting passives — exact selection pool, NOT final bag quantities","Nichicon UVR1C100MDD","10 µF, 16 V, radial","Audio coupling/bridge and receiver filtering candidates","See report; not production-released"
"3. Supporting passives — exact selection pool, NOT final bag quantities","Nichicon UVR1C101MDD","100 µF, 16 V, radial","Converter input and audio/rail bulk capacitance candidates","See report; not production-released"
"4. The rest of the kit","1","Assembled reusable power module","Existing KK_power_module 0.2-LR1; include as an assembled/tested subassembly, not a student SMD bag. Its complete exact component list is [production_bom.csv](../KK_power_module/manufacturing/production_bom.csv). That includes charger, protection, USB-C, hard switch, status LEDs and board connectors: do not double-count them.","See report; not production-released"
"4. The rest of the kit","1","Battery pack","Retain MakerHawk 102050, stated 1S 3.7 V / 1000 mAh. Hold: this designation alone is not a fully controlled cell MPN; obtain seller identity, cell datasheet, charge/discharge limits, actual protected dimensions, connector polarity and transport documentation. No silent pack substitution.","See report; not production-released"
"4. The rest of the kit","1","Battery temperature sensor assembly","Proposed Vishay NTCLE100E3103JB0 leaded NTC plus insulated factory-prepared leads. Hold: verify its resistance/temperature curve against the actual charger network and cell charging limits. No default NO_NTC shunt for the student product.","See report; not production-released"
"4. The rest of the kit","1 housing + 2 leads","Temperature-sensor connection","Pololu 1901 1×2 housing plus two 1810 pre-crimp wires, cut and factory-spliced to NTC with insulation/strain relief. Fits the power-board 2.54 mm J4; final cable length and attachment to cell remain custom.","See report; not production-released"
"4. The rest of the kit","1","Front shell","User-designed after board placement; include screen recess, control guides, IR openings and antenna clearance. Custom part, no commercial MPN.","See report; not production-released"
"4. The rest of the kit","1","Rear shell","Custom; captive battery compartment and protected PCB mounts. No loose screw tips or solder leads facing the pouch.","See report; not production-released"
"4. The rest of the kit","1","D-pad cap","Custom guided D-pad over four soft switches. Pivot/travel/anti-diagonal behavior require sample test.","See report; not production-released"
"4. The rest of the kit","4","A/B/X/Y caps","Custom guided caps matching selected switch height and travel.","See report; not production-released"
"4. The rest of the kit","1","Function cap","Custom guided cap. Power switch actuator opening/extension is separate.","See report; not production-released"
"4. The rest of the kit","1","Screen lens/bezel","Cut clear lens plus perimeter gasket; drawing and material thickness follow screen stack. Keep adhesive off the active area.","See report; not production-released"
"4. The rest of the kit","1","Speaker gasket/baffle","Die-cut foam gasket and retention pocket; no blocked acoustic vent. Qualify by listening in the actual shell.","See report; not production-released"
"4. The rest of the kit","1 set","Motor mount","Insulated pocket/retainer, adhesive if the qualified motor requires it; no extra haptic breakout.","See report; not production-released"
"4. The rest of the kit","1 set","Battery insulation/retention","Insulating barrier and retained cradle/pull-tab system with cell expansion allowance; never compress or puncture pouch.","See report; not production-released"
"4. The rest of the kit","1 set","PCB mounts / screws","Prefer molded/printed standoffs; screw diameter, count and length MUST follow actual PCB holes and shell bosses. Unspecified fasteners are not released purchase items.","See report; not production-released"
"4. The rest of the kit","1","Keychain attachment","Captive shell anchor plus split ring or short loop; exact hardware follows anchor design and pull test. Avoid relying on a thin decorative printed tab.","See report; not production-released"
"4. The rest of the kit","1","USB data/charging cable","USB-A to USB-C or C-to-C data cable appropriate to the supplied/classroom power source; exact product not yet selected. Charging uses power-module USB. MCU programming has the restrictions below.","See report; not production-released"
"4. The rest of the kit","1 set","Kit packaging","Labeled resistor/capacitor bags, antistatic electronics bag, protected battery packaging, assembly guide, wiring/polarity card and test checklist. Supplier/dimensions await kit bag count.","See report; not production-released"
"4. The rest of the kit","1 image","Firmware","Factory test + pet firmware + example games; program during kit preparation. Not yet implemented or released by this sourcing task.","See report; not production-released"
